,Day,Temperature,Weather,Feels Like,Wind,Humidity,Chance of Precipitation,Precipitation Amount,UV Index,Sunrise,Sunset
0,ThuNov 16,63 / 39ʡF,Sunny.,60ʡF,5 mph,45%,0%,-,3(Moderate),6:36 am,4:24 pm
1,FriNov 17,62 / 40ʡF,Sprinkles late. Cloudy.,62ʡF,12 mph,65%,39%,"0.02""",0(Low),6:37 am,4:23 pm
2,SatNov 18,58 / 36ʡF,Light rain. Decreasing cloudiness.,44ʡF,11 mph,71%,54%,"0.23""",0(Low),6:38 am,4:22 pm
3,SunNov 19,50 / 30ʡF,Sunny.,45ʡF,11 mph,43%,0%,-,0(Low),6:39 am,4:21 pm
4,MonNov 20,44 / 29ʡF,Increasing cloudiness.,39ʡF,6 mph,34%,0%,-,3(Moderate),6:40 am,4:21 pm
5,TueNov 21,43 / 24ʡF,Overcast.,38ʡF,5 mph,49%,2%,-,0(Low),6:42 am,4:20 pm
6,WedNov 22,64 / 36ʡF,Tons of rain. Breaks of sun late.,58ʡF,9 mph,74%,97%,"2.18""",0(Low),6:43 am,4:19 pm
7,ThuNov 23,53 / 32ʡF,Sunny.,46ʡF,10 mph,47%,4%,-,0(Low),6:44 am,4:19 pm
8,FriNov 24,44 / 33ʡF,Mostly sunny.,37ʡF,11 mph,48%,6%,-,0(Low),6:45 am,4:18 pm
9,SatNov 25,45 / 31ʡF,Mostly cloudy.,42ʡF,3 mph,47%,5%,-,0(Low),6:46 am,4:18 pm
10,SunNov 26,46 / 31ʡF,Afternoon clouds.,44ʡF,2 mph,52%,6%,-,0(Low),6:47 am,4:17 pm
11,MonNov 27,47 / 32ʡF,Light snow late. Cloudy.,43ʡF,5 mph,71%,45%,"0.04""",0(Low),6:48 am,4:17 pm
12,TueNov 28,48 / 34ʡF,Rain. Morning clouds.,41ʡF,11 mph,74%,73%,"0.52""",0(Low),6:50 am,4:16 pm
13,WedNov 29,50 / 36ʡF,Afternoon clouds.,42ʡF,6 mph,56%,6%,-,0(Low),6:51 am,4:16 pm
14,ThuNov 30,48 / 35ʡF,Mostly sunny.,40ʡF,11 mph,58%,5%,-,0(Low),6:52 am,4:16 pm
